(2552.221924, 1522.850708)
(2552.253662, 1522.848877)
(2552.259521, 1522.848877)
(2552.26709, 1522.848877)
(2552.269775, 1522.848877)
(2552.270752, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2552.27124, 1522.848877)
(2549.863281, 1522.71582)
(2547.455322, 1522.789063)
(2545.047363, 1522.656006)
(2542.639404, 1522.788086)
(2540.231445, 1522.655029)
(2537.823486, 1522.787109)
(2535.415527, 1522.654053)
(2533.007568, 1522.786133)
(2530.599609, 1522.653076)
(2528.19165, 1522.785156)
(2525.783691, 1522.6521)
(2523.375732, 1522.788452)
(2520.967773, 1522.655396)
(2518.559814, 1522.787476)
(2516.151855, 1522.654419)
(2513.743896, 1522.786499)
(2511.335938, 1522.653442)
(2508.927979, 1522.785522)
(2506.52002, 1522.652466)
(2504.112061, 1522.788818)
(2501.704102, 1522.655762)
(2499.296143, 1522.787842)
(2496.888184, 1522.654785)
(2494.480225, 1522.786865)
(2492.072266, 1522.653809)
(2489.664307, 1522.785889)
(2487.256348, 1522.652832)
(2484.848389, 1522.789185)
(2482.44043, 1522.656128)
(2480.032471, 1522.788208)
(2477.624512, 1522.655151)
(2475.216553, 1522.787231)
(2472.808594, 1522.654175)
(2470.400635, 1522.786255)
(2467.992676, 1522.653198)
(2465.584717, 1522.785278)
(2463.176758, 1522.652222)
(2460.768799, 1522.788574)
(2458.36084, 1522.655518)
(2455.938721, 1522.785278)
(2453.516602, 1522.70459)
(2451.094482, 1522.788086)
(2448.659424, 1522.760742)
(2446.224365, 1522.788086)
(2443.779785, 1522.788452)
(2441.335205, 1522.788818)
(2438.890625, 1522.789185)
(2436.446045, 1522.787964)
(2434.001465, 1522.78833)
(2431.556885, 1522.788696)
(2429.112305, 1522.789063)
(2426.667725, 1522.787842)
(2424.223145, 1522.788208)
(2421.778564, 1522.788574)
(2419.333984, 1522.78894)
(2416.889404, 1522.789307)
(2414.444824, 1522.788086)
(2412.000244, 1522.788452)
(2409.555664, 1522.788818)
(2407.111084, 1522.789185)
(2404.666504, 1522.787964)
(2402.221924, 1522.78833)
(2399.777344, 1522.788696)
(2397.332764, 1522.789063)
(2394.888184, 1522.787842)
(2392.443604, 1522.788208)
(2389.999023, 1522.788574)
(2387.554443, 1522.78894)
(2385.109863, 1522.789307)
(2382.665283, 1522.788086)
(2380.220703, 1522.788452)
(2377.776123, 1522.788818)
(2375.331543, 1522.789185)
(2372.886963, 1522.787964)
(2370.442383, 1522.78833)
(2367.997803, 1522.788696)
(2365.553223, 1522.789063)
(2363.108643, 1522.787842)
(2360.664063, 1522.788208)
(2358.219482, 1522.788574)
(2355.774902, 1522.78894)
(2353.330322, 1522.789307)
(2350.885742, 1522.788086)
(2348.441162, 1522.788452)
(2345.996582, 1522.788818)
(2343.552002, 1522.789185)
(2341.107422, 1522.787964)
(2338.662842, 1522.78833)
(2336.218262, 1522.788696)
(2333.773682, 1522.789063)
(2331.329102, 1522.787842)
(2328.884521, 1522.788208)
(2326.439941, 1522.788574)
(2323.995361, 1522.78894)
(2321.550781, 1522.789307)
(2319.106201, 1522.788086)
(2316.661621, 1522.788452)
(2314.217041, 1522.788818)
(2311.772461, 1522.789185)
(2309.330566, 1522.789185)
(2306.876953, 1522.787231)
(2304.425537, 1522.786377)
(2301.974121, 1522.788696)
(2299.525146, 1522.788452)
(2297.078857, 1522.788086)
(2294.632568, 1522.789307)
(2292.186279, 1522.78894)
(2289.73999, 1522.788574)
(2287.296387, 1522.789185)
(2284.852783, 1522.788208)
(2282.40918, 1522.788818)
(2279.965576, 1522.787842)
(2277.521973, 1522.788452)
(2275.078369, 1522.789063)
(2272.634766, 1522.788086)
(2270.191162, 1522.788696)
(2267.747559, 1522.789307)
(2265.303955, 1522.78833)
(2262.860352, 1522.78894)
(2260.416748, 1522.787964)
(2257.973145, 1522.788574)
(2255.529541, 1522.789185)
(2253.085938, 1522.788208)
(2250.642334, 1522.788818)
(2248.19873, 1522.787842)
(2245.755127, 1522.788452)
(2243.311523, 1522.789063)
(2240.86792, 1522.788086)
(2238.424316, 1522.788696)
(2235.980713, 1522.789307)
(2233.543457, 1522.77124)
(2231.106201, 1522.786743)
(2228.668945, 1522.768677)
(2226.239258, 1522.785889)
(2223.849854, 1522.5896)
(2223.849854, 1522.783203)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
(2223.849854, 1522.788208)
